scenario,scheme,time_us,bytes_delta_raw,utilization_cv_raw,mean_queue_fraction_raw,utilization_cv_rolling_median,mean_queue_fraction_rolling_median,in_valid_business_range
asymmetric_p2p_tornado_16mib,mrc,226,23532352,0.0102108684777,0.023324655932,0.00993929522735,0.023324655932,1
asymmetric_p2p_tornado_16mib,mrc,228,23568064,0.00985710435512,0.0235155682231,0.00993929522735,0.0235155682231,1
asymmetric_p2p_tornado_16mib,mrc,230,23516288,0.00993929522735,0.0244410315225,0.00993929522735,0.023604282113,1
asymmetric_p2p_tornado_16mib,mrc,232,23419072,0.0100181636306,0.0236908668695,0.00987384591787,0.0236908668695,1
asymmetric_p2p_tornado_16mib,mrc,234,23490176,0.00987384591787,0.023604282113,0.00993929522735,0.0237547408703,1
asymmetric_p2p_tornado_16mib,mrc,236,23680960,0.00951414224928,0.0237547408703,0.0100181636306,0.0237547408703,1
asymmetric_p2p_tornado_16mib,mrc,238,23423296,0.0106229613368,0.0240322379179,0.00996333934389,0.0240159145621,1
asymmetric_p2p_tornado_16mib,mrc,240,23399424,0.0102030919219,0.0240159145621,0.0100401683445,0.0240159145621,1
asymmetric_p2p_tornado_16mib,mrc,242,23500928,0.00996333934389,0.0242082462754,0.0100401683445,0.0240159145621,1
asymmetric_p2p_tornado_16mib,mrc,244,23627328,0.0100401683445,0.0235049225563,0.0100401683445,0.0235702159793,1
asymmetric_p2p_tornado_16mib,mrc,246,23421952,0.00978420858549,0.0235205362009,0.0100401683445,0.0235205362009,1
asymmetric_p2p_tornado_16mib,mrc,248,23504448,0.0104860123265,0.0235702159793,0.0102204098917,0.0235049225563,1
asymmetric_p2p_tornado_16mib,mrc,250,23502208,0.0104581923158,0.0231025163517,0.0102204098917,0.0231025163517,1
asymmetric_p2p_tornado_16mib,mrc,252,23484224,0.0102204098917,0.0230947095294,0.0104581923158,0.0230947095294,1
asymmetric_p2p_tornado_16mib,mrc,254,23556864,0.0100402051386,0.022817922193,0.0104501768324,0.0230578045512,1
asymmetric_p2p_tornado_16mib,mrc,256,23512512,0.0106318733018,0.0224069994549,0.0104501768324,0.0228576660156,1
asymmetric_p2p_tornado_16mib,mrc,258,23433600,0.0104501768324,0.0230578045512,0.0104501768324,0.022817922193,1
asymmetric_p2p_tornado_16mib,mrc,260,23544704,0.0107471421369,0.0228576660156,0.0104501768324,0.0227334665698,1
asymmetric_p2p_tornado_16mib,mrc,262,23478528,0.0103071331625,0.0227284985919,0.0104501768324,0.0228576660156,1
asymmetric_p2p_tornado_16mib,mrc,264,23409536,0.0100305231282,0.0227334665698,0.0103071331625,0.0228576660156,1
asymmetric_p2p_tornado_16mib,mrc,266,23622144,0.0111151246534,0.0233835619549,0.0103020030263,0.0230492880178,1
asymmetric_p2p_tornado_16mib,mrc,268,23491072,0.0103020030263,0.0230492880178,0.0103020030263,0.0233835619549,1
asymmetric_p2p_tornado_16mib,mrc,270,23348096,0.0100525641763,0.0235986044241,0.0103020030263,0.0233835619549,1
asymmetric_p2p_tornado_16mib,mrc,272,23430784,0.0104316879003,0.0236887377362,0.0103020030263,0.0235986044241,1
asymmetric_p2p_tornado_16mib,mrc,274,23689024,0.0102152493717,0.0231010969295,0.0104316879003,0.0235986044241,1
asymmetric_p2p_tornado_16mib,mrc,276,23229952,0.0106623395592,0.0239328783612,0.0104316879003,0.0234204669331,1
asymmetric_p2p_tornado_16mib,mrc,278,23558528,0.0105927957133,0.0234204669331,0.0102152493717,0.0232025856195,1
asymmetric_p2p_tornado_16mib,mrc,280,23442560,0.00996567553929,0.02285411746,0.0105064445128,0.0232025856195,1
asymmetric_p2p_tornado_16mib,mrc,282,23487616,0.00996771623932,0.0232025856195,0.0105064445128,0.0232018759084,1
asymmetric_p2p_tornado_16mib,mrc,284,23486208,0.0105064445128,0.0226312681686,0.0103399006287,0.0232018759084,1
asymmetric_p2p_tornado_16mib,mrc,286,23431616,0.010677739462,0.0232018759084,0.0103399006287,0.0232018759084,1
asymmetric_p2p_tornado_16mib,mrc,288,23378816,0.0103399006287,0.0235730548238,0.0103399006287,0.02305070744,1
asymmetric_p2p_tornado_16mib,mrc,290,23590144,0.0102983980777,0.02305070744,0.0102983980777,0.02305070744,1
asymmetric_p2p_tornado_16mib,mrc,292,23456128,0.0101653955791,0.0226866256359,0.0102983980777,0.0228746990825,1
asymmetric_p2p_tornado_16mib,mrc,294,23402816,0.010278930339,0.0228746990825,0.0102983980777,0.0228746990825,1
asymmetric_p2p_tornado_16mib,mrc,296,23446144,0.0108949647043,0.0226468818132,0.010278930339,0.0228746990825,1
asymmetric_p2p_tornado_16mib,mrc,298,23506752,0.0105981408211,0.0231408407522,0.0105981408211,0.0231408407522,1
asymmetric_p2p_tornado_16mib,mrc,300,23299968,0.0101666839855,0.0242565066315,0.0108949647043,0.0236866086028,1
asymmetric_p2p_tornado_16mib,mrc,302,23478464,0.0112543603029,0.0236866086028,0.0105981408211,0.0242565066315,1
asymmetric_p2p_tornado_16mib,mrc,304,23400576,0.0112740345546,0.0245375522347,0.0109012579416,0.0243409622547,1
asymmetric_p2p_tornado_16mib,mrc,306,23362880,0.0104951596489,0.0246624613917,0.0109012579416,0.0243409622547,1
asymmetric_p2p_tornado_16mib,mrc,308,23439040,0.0109012579416,0.0243409622547,0.0106869809401,0.0243409622547,1
asymmetric_p2p_tornado_16mib,mrc,310,23491072,0.0105882472925,0.0240620457849,0.0106869809401,0.0240620457849,1
asymmetric_p2p_tornado_16mib,mrc,312,23378560,0.0106869809401,0.0239740416061,0.0109012579416,0.0239740416061,1
asymmetric_p2p_tornado_16mib,mrc,314,23437888,0.0115914644583,0.0236049918241,0.0110029203083,0.0237973235374,1
asymmetric_p2p_tornado_16mib,mrc,316,23372992,0.011095865157,0.0237973235374,0.0110843917367,0.0236049918241,1
asymmetric_p2p_tornado_16mib,mrc,318,23452224,0.0110029203083,0.0228058571039,0.0110843917367,0.0234133698219,1
asymmetric_p2p_tornado_16mib,mrc,320,23408000,0.0110843917367,0.0234133698219,0.0110843917367,0.0234133698219,1
asymmetric_p2p_tornado_16mib,mrc,322,23543936,0.0109369237486,0.0225340377453,0.0110843917367,0.0230925803961,1
asymmetric_p2p_tornado_16mib,mrc,324,23233216,0.0116823964168,0.0234722758448,0.0110843917367,0.0234133698219,1
asymmetric_p2p_tornado_16mib,mrc,326,23485120,0.011113180332,0.0230925803961,0.0111119945803,0.0231827137082,1
asymmetric_p2p_tornado_16mib,mrc,328,23462464,0.0105108354873,0.0234864700672,0.0111119945803,0.0233331724655,1
asymmetric_p2p_tornado_16mib,mrc,330,23423680,0.0111119945803,0.0231827137082,0.0106674401729,0.0233331724655,1
asymmetric_p2p_tornado_16mib,mrc,332,23384320,0.0105307052884,0.0233331724655,0.0106674401729,0.0234261446221,1
asymmetric_p2p_tornado_16mib,mrc,334,23405248,0.0106674401729,0.023622024891,0.0106857163774,0.0233622706214,1
asymmetric_p2p_tornado_16mib,mrc,336,23430144,0.0109109401993,0.0234261446221,0.0106803654925,0.0233622706214,1
asymmetric_p2p_tornado_16mib,mrc,338,23418560,0.0106857163774,0.0233622706214,0.0106803654925,0.0234261446221,1
asymmetric_p2p_tornado_16mib,mrc,340,23455808,0.0106803654925,0.0232302643532,0.0106857163774,0.0234261446221,1
asymmetric_p2p_tornado_16mib,mrc,342,23451648,0.0106660492314,0.0236071209575,0.0106803654925,0.0236071209575,1
asymmetric_p2p_tornado_16mib,mrc,344,23240320,0.0108286797688,0.0240308184956,0.0106803654925,0.0236071209575,1
asymmetric_p2p_tornado_16mib,mrc,346,23473088,0.0105275660392,0.0238420353379,0.0107607220086,0.0236071209575,1
asymmetric_p2p_tornado_16mib,mrc,348,23157184,0.0107607220086,0.01884637877,0.0108286797688,0.01884637877,1
asymmetric_p2p_tornado_16mib,mrc,350,15740672,0.0110983593238,0.0122162574945,0.0110983593238,0.0122162574945,1
asymmetric_p2p_tornado_16mib,mrc,352,5362752,0.0118944141799,0.00947251430778,0.0116434843522,0.00947251430778,1
asymmetric_p2p_tornado_16mib,mrc,354,4585920,0.0116434843522,0.00858111714208,0.0118944141799,0.00858111714208,1
asymmetric_p2p_tornado_16mib,mrc,356,4201664,0.0132468781481,0.00839659225109,0.0132468781481,0.00858040743096,1
asymmetric_p2p_tornado_16mib,mrc,358,4238272,0.0145360574357,0.00848814498547,0.0145360574357,0.00848814498547,1
asymmetric_p2p_tornado_16mib,mrc,360,4390976,0.0150264569571,0.00858040743096,0.0150264569571,0.00844272347384,1
asymmetric_p2p_tornado_16mib,mrc,362,4324288,0.0165515377136,0.00821135764898,0.0165515377136,0.00844272347384,1
asymmetric_p2p_tornado_16mib,mrc,364,4280512,0.0172202707656,0.00844272347384,0.0172202707656,0.00844272347384,1
asymmetric_p2p_tornado_16mib,mrc,366,4225664,0.0199498483682,0.00825748887173,0.0199498483682,0.00825748887173,1
asymmetric_p2p_tornado_16mib,mrc,368,4441408,0.0220983763813,0.00848814498547,0.0220983763813,0.00825748887173,1
asymmetric_p2p_tornado_16mib,mrc,370,4251968,0.0259535673546,0.00825748887173,0.0259535673546,0.00825748887173,1
asymmetric_p2p_tornado_16mib,mrc,372,4352832,0.0290937604944,0.00821135764898,0.0290937604944,0.00834975131722,1
asymmetric_p2p_tornado_16mib,mrc,374,4132416,0.032340994998,0.00834975131722,0.032340994998,0.00834975131722,1
asymmetric_p2p_tornado_16mib,mrc,376,4496384,0.0405822684683,0.00848814498547,0.0405822684683,0.00848814498547,1
asymmetric_p2p_tornado_16mib,mrc,378,4152448,0.0510949224329,0.00899558843568,0.0510949224329,0.00885719476744,1
asymmetric_p2p_tornado_16mib,mrc,380,4318912,0.0545883170572,0.00885719476744,0.0545883170572,0.00899558843568,1
asymmetric_p2p_tornado_16mib,mrc,382,4165504,0.0551843817359,0.0095030318859,0.0547558900133,0.00899558843568,1
asymmetric_p2p_tornado_16mib,mrc,384,4441152,0.0550901015185,0.00899558843568,0.0547558900133,0.00885719476744,1
asymmetric_p2p_tornado_16mib,mrc,386,4219776,0.0547558900133,0.00881106354469,0.0550901015185,0.00885790447856,1
asymmetric_p2p_tornado_16mib,mrc,388,4247936,0.0547490081271,0.00876493232195,0.0550901015185,0.00881106354469,1
asymmetric_p2p_tornado_16mib,mrc,390,4244288,0.0565655260979,0.00885790447856,0.0558863547147,0.00876493232195,1
asymmetric_p2p_tornado_16mib,mrc,392,4440576,0.0558863547147,0.0085818268532,0.0558863547147,0.00867266987645,1
asymmetric_p2p_tornado_16mib,mrc,394,4199744,0.0561582198543,0.00867266987645,0.0559991217595,0.00867266987645,1
asymmetric_p2p_tornado_16mib,mrc,396,4185600,0.0556935273675,0.00867266987645,0.0558863547147,0.00867266987645,1
asymmetric_p2p_tornado_16mib,mrc,398,4315008,0.0559991217595,0.00918011332667,0.0559991217595,0.00918011332667,1
asymmetric_p2p_tornado_16mib,mrc,400,4322944,0.0545342086489,0.00922624454942,0.0556935273675,0.00918153274891,1
asymmetric_p2p_tornado_16mib,mrc,402,4216960,0.0563546625429,0.0092290833939,0.0547638296093,0.00922624454942,1
asymmetric_p2p_tornado_16mib,mrc,404,4183872,0.0546833239767,0.00918153274891,0.0546833239767,0.0092290833939,1
asymmetric_p2p_tornado_16mib,mrc,406,4328320,0.0547638296093,0.00945690066315,0.0547638296093,0.0092290833939,1
asymmetric_p2p_tornado_16mib,mrc,408,4285440,0.0542267195324,0.00955058253089,0.0546833239767,0.00918153274891,1
asymmetric_p2p_tornado_16mib,mrc,410,4296512,0.054792690734,0.00890332599019,0.054601155149,0.00895087663517,1
asymmetric_p2p_tornado_16mib,mrc,412,4121216,0.054601155149,0.00895087663517,0.054601155149,0.00895087663517,1
asymmetric_p2p_tornado_16mib,mrc,414,4386368,0.0539214876468,0.00872022052144,0.054792690734,0.00890332599019,1
asymmetric_p2p_tornado_16mib,mrc,416,4218880,0.0559640431758,0.00913398210392,0.0550734764341,0.00872022052144,1
asymmetric_p2p_tornado_16mib,mrc,418,4301440,0.0550734764341,0.00830362009448,0.0550734764341,0.00830362009448,1
asymmetric_p2p_tornado_16mib,mrc,420,4199488,0.0554856102858,0.00825748887173,0.0550734764341,0.00830362009448,1
asymmetric_p2p_tornado_16mib,mrc,422,4398784,0.0542764688764,0.00816664584847,0.0550734764341,0.00825748887173,1
asymmetric_p2p_tornado_16mib,mrc,424,4211456,0.0547907424933,0.00844201376272,0.0551282936367,0.00825748887173,1
asymmetric_p2p_tornado_16mib,mrc,426,4218688,0.0551282936367,0.00807296398074,0.0551280579454,0.00816664584847,1
asymmetric_p2p_tornado_16mib,mrc,428,4236416,0.0559991217595,0.00862653865371,0.0551280579454,0.00839588253997,1
asymmetric_p2p_tornado_16mib,mrc,430,4448000,0.0551280579454,0.00807296398074,0.0551280579454,0.00839588253997,1
asymmetric_p2p_tornado_16mib,mrc,432,4166784,0.0540049790325,0.00839588253997,0.0547232353686,0.00839659225109,1
asymmetric_p2p_tornado_16mib,mrc,434,4222720,0.0546141256724,0.00839659225109,0.0547232353686,0.00839659225109,1
asymmetric_p2p_tornado_16mib,mrc,436,4306624,0.0547232353686,0.00853427620821,0.0547232353686,0.00853427620821,1
asymmetric_p2p_tornado_16mib,mrc,438,4361152,0.0558918372273,0.00853427620821,0.0551010209648,0.00853427620821,1
