figure,panel,scenario,column_key,column_label,family,traffic,size_mib,websearch_load_pct,parallel,degraded,periodic_background,scheme,metric,geomean_us,baseline_us,ratio,seed_count,baseline_schemes
p2p,Asymmetric,asymmetric_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",asymmetric_p2p,websearch,0,40,0,1,0,mrc,p99_fct_us,1227.9349608309428,1220.2159989609072,1.006325897936602,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",asymmetric_p2p,websearch,0,40,0,1,0,sglb,p99_fct_us,1220.2159989609072,1220.2159989609072,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_40pct,websearch_40pct,"WebSearch
40%",asymmetric_p2p,websearch,0,40,0,1,0,n-mrc,p99_fct_us,1220.984875710077,1220.2159989609072,1.0006301152827242,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",asymmetric_p2p,websearch,0,60,0,1,0,ops,p99_fct_us,2442.087121175633,2008.914297152958,1.2156253378437145,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",asymmetric_p2p,websearch,0,60,0,1,0,reps,p99_fct_us,2025.0120826725695,2008.914297152958,1.00801317684006,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",asymmetric_p2p,websearch,0,60,0,1,0,mrc,p99_fct_us,2057.892540867176,2008.914297152958,1.0243804545488229,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",asymmetric_p2p,websearch,0,60,0,1,0,sglb,p99_fct_us,2008.914297152958,2008.914297152958,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_60pct,websearch_60pct,"WebSearch
60%",asymmetric_p2p,websearch,0,60,0,1,0,n-mrc,p99_fct_us,2013.450207427122,2008.914297152958,1.002257891379733,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",asymmetric_p2p,websearch,0,80,0,1,0,ops,p99_fct_us,5024.549297372821,3826.8475220515743,1.3129734771034614,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",asymmetric_p2p,websearch,0,80,0,1,0,reps,p99_fct_us,3826.8475220515743,3826.8475220515743,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",asymmetric_p2p,websearch,0,80,0,1,0,mrc,p99_fct_us,3899.753922731579,3826.8475220515743,1.0190512949000172,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",asymmetric_p2p,websearch,0,80,0,1,0,sglb,p99_fct_us,3833.8250444854666,3826.8475220515743,1.0018233081913208,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",asymmetric_p2p,websearch,0,80,0,1,0,n-mrc,p99_fct_us,4061.3133276805193,3826.8475220515743,1.061268656322959,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",asymmetric_p2p,websearch,0,100,0,1,0,ops,p99_fct_us,7738.604365655229,6606.897367874086,1.1712917478155551,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",asymmetric_p2p,websearch,0,100,0,1,0,reps,p99_fct_us,6606.897367874086,6606.897367874086,1.0,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",asymmetric_p2p,websearch,0,100,0,1,0,mrc,p99_fct_us,6698.235176446293,6606.897367874086,1.0138246144122558,3,ops;reps;mrc;sglb
p2p,Asymmetric,asymmetric_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",asymmetric_p2p,websearch,0,100,0,1,0,sglb,p99_fct_us,6727.762407320479,6606.897367874086,1.0182937667586751,3,ops;reps;mrc;sglb
