scenario,variant,seed,profile,level_changes,paired_reversals,all_zero_profiles,all_zero_selections
standard_websearch_proxy_80pct,grade_default,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_default,47,stor,357971,142924,89,2467
standard_websearch_proxy_80pct,grade_default,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_equal,13,stor,369094,152656,72,2515
standard_websearch_proxy_80pct,grade_equal,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_equal,29,stor,328722,136252,53,1662
standard_websearch_proxy_80pct,grade_equal,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_equal,47,stor,337834,140277,53,1758
standard_websearch_proxy_80pct,grade_equal,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_gentle,13,stor,376072,153855,86,2699
standard_websearch_proxy_80pct,grade_gentle,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_gentle,29,stor,336405,137701,67,2178
standard_websearch_proxy_80pct,grade_gentle,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_gentle,47,stor,343120,139908,71,2233
standard_websearch_proxy_80pct,grade_gentle,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_sensitive,13,stor,168183,60360,16,287
standard_websearch_proxy_80pct,grade_sensitive,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_sensitive,29,stor,143197,51501,8,130
standard_websearch_proxy_80pct,grade_sensitive,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_sensitive,47,stor,146673,52456,12,251
standard_websearch_proxy_80pct,grade_sensitive,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_sharp,13,stor,426904,162258,214,4905
standard_websearch_proxy_80pct,grade_sharp,13,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_sharp,29,stor,366561,142351,122,3614
standard_websearch_proxy_80pct,grade_sharp,29,netaware,0,0,0,0
standard_websearch_proxy_80pct,grade_sharp,47,stor,372944,145022,111,2490
standard_websearch_proxy_80pct,grade_sharp,47,netaware,0,0,0,0
standard_websearch_proxy_80pct,netaware_default_off,13,stor,0,0,0,0
standard_websearch_proxy_80pct,netaware_default_off,13,netaware,34272,16391,0,0
standard_websearch_proxy_80pct,netaware_default_off,29,stor,0,0,0,0
